PM2.5, PM10, SO2, NO2, CO, O3, U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, 
14.86,24.9,1.64,2.16,0.28,72.89,-4.68,-3.06,294.81,94.61,97977.57,18.71,109.96, 
13.73,24.32,1.61,1.75,0.26,77.82,-5.06,-3.22,295.84,92.19,99426.47,18.7,110.1, 
12.87,23.92,1.29,1.17,0.24,83.25,-6.02,-3.75,296.46,91.85,100423.25,18.7,110.24, 
12.25,23.79,0.97,0.67,0.22,91.17,-7.28,-4.18,297.28,90.94,101386.18,18.69,110.38, 
17.19,23.27,2.55,2.91,0.26,71.94,-0.18,-0.61,297.37,77.71,100602.68,18.89,108.71, 
14.21,19.57,1.57,2.2,0.25,67.09,-2.08,0.96,297.35,75.55,99095.03,18.89,108.85, 
12.98,18.27,1.26,1.97,0.24,65.3,-5.57,1.31,296.7,75.46,97352.98,18.88,108.99, 
13.56,19.41,1.28,2.02,0.25,64.61,-6.62,-0.08,294.53,83.66,94792.84,18.88,109.13, 
13.93,20.33,1.36,2.09,0.25,65.87,-5.15,-1.51,294.26,87.6,95331.76,18.87,109.27, 
13.64,20.54,1.43,2.1,0.26,67.31,-5.57,-0.66,295.09,83.65,96176.73,18.87,109.41, 
14.15,21.34,1.5,2.02,0.26,69.48,-6.66,-0.05,293.33,90.97,93988.88,18.86,109.55, 
15.99,24.14,1.6,2.39,0.28,67.31,-5.85,-0.42,292.26,97.78,93318.16,18.86,109.69, 
15.84,25.25,1.64,2.35,0.28,67.64,-4.71,-1.08,293.16,97.79,95345.55,18.85,109.83, 
15.35,25.51,1.79,2.3,0.28,71.29,-4.47,-1.86,294.34,95.97,97463.48,18.84,109.97, 
14.74,25.55,1.93,2.27,0.28,75.28,-4.85,-2.26,295.05,95.16,98524.1,18.84,110.11, 
14.15,25.63,2.01,2.32,0.27,78.33,-5.49,-2.62,295.5,95.2,99376.02,18.83,110.25, 
12.83,24.15,1.47,1.4,0.24,84.56,-6.59,-3.34,296.68,91.87,100886.97,18.82,110.39, 
18.44,25.18,4.1,4.42,0.27,71.75,0.38,-0.89,297.77,77.87,101168.19,19.02,108.71, 
15.7,21.94,2.32,2.96,0.26,70,0.14,0.14,297.86,75.99,100863.26,19.02,108.85, 
13.82,19.65,1.58,2.21,0.25,67.06,-3.06,0.99,297.58,73.53,98916.39,19.01,108.99, 
13.77,19.89,1.38,1.8,0.25,67.92,-6.4,1.28,294.77,82.7,94942.81,19.01,109.13, 
15.4,22.46,1.41,1.95,0.26,65.33,-6.21,0.18,292.98,92.77,93695.11,19,109.27, 
15.02,22.7,1.49,1.94,0.27,67.28,-5.74,-0.23,293.68,91.17,94797.97,19,109.41, 
15.58,24.02,1.57,2.21,0.28,66.21,-6.1,0.47,293.47,92.52,94766.11,18.99,109.55, 
15.91,25,1.68,2.37,0.28,67.12,-5.61,0.82,293.26,94.93,94898.66,18.99,109.69, 
15.69,25.35,1.8,2.37,0.29,70.19,-4.9,0.17,293.68,95.58,96087.38,18.98,109.83, 
15.6,26.14,1.86,2.56,0.29,69.56,-4.68,-0.71,294.18,96.06,97279.29,18.98,109.97, 
15.14,26.38,2.03,2.71,0.29,72.27,-4.58,-1.36,294.92,95.51,98637.12,18.97,110.11, 
14.54,26.61,2.26,3,0.29,75.17,-4.77,-1.66,295.67,94.42,99863.66,18.96,110.25, 
13.07,24.77,1.62,1.8,0.26,81.52,-5.92,-2.26,296.64,91.48,100953.3,18.96,110.39, 
17.65,24.15,3.82,4.19,0.26,70.91,-0.88,-1.06,297.95,78.36,101224.54,19.16,108.72, 
15.76,22.08,2.48,3.1,0.26,70.66,-1.42,0.18,298.05,76.16,100849.49,19.15,108.86, 
13.85,19.85,1.66,2.11,0.25,69.35,-4.05,0.92,297.6,75.29,99309.3,19.15,109, 
13.74,20.12,1.44,1.68,0.25,69.4,-6.57,1.46,295.54,81.83,96450.68,19.14,109.14, 
14.33,21.12,1.5,1.58,0.26,71.31,-5.91,1.42,294.12,89.51,95392.55,19.14,109.28, 
14.35,22.05,1.57,1.7,0.27,71.51,-5.32,0.88,294.57,89.13,96346.36,19.13,109.42, 
14.96,23.62,1.65,2.04,0.28,69.22,-5.91,0.96,294.58,90.14,96771.62,19.13,109.56, 
16.09,25.93,1.73,2.68,0.3,64.38,-5.94,0.99,294.18,93.33,96805.58,19.12,109.7, 
15.71,26.03,1.79,2.79,0.3,65.52,-5.34,0.69,294.53,93.24,97538.04,19.11,109.84, 
15.32,26,1.79,2.8,0.3,66.67,-4.82,0.17,294.73,94.16,98185,19.11,109.98, 
14.86,26.05,1.86,2.98,0.3,67.85,-4.42,-0.49,295.18,94.47,99239.83,19.1,110.12, 
14.01,25.81,2.03,3.21,0.3,70.81,-4.35,-1.16,296.12,92.03,100672.09,19.1,110.26, 
12.95,24.45,1.46,1.97,0.27,74.85,-4.91,-1.76,296.85,89.57,101373.78,19.09,110.4, 
12.4,23.35,1,0.84,0.24,84.21,-6.33,-2.37,297.17,89.28,101601.3,19.08,110.54, 
17.16,23.58,3.36,3.67,0.26,71.62,-2.82,-1.32,297.91,79.74,101309.72,19.29,108.72, 
15.77,22.14,2.61,3.14,0.26,70.57,-3.38,0.15,298.07,77.12,101065.37,19.28,108.86, 
14.14,20.48,1.91,2.25,0.25,71.8,-4.8,0.52,297.65,76.72,99911.7,19.28,109, 
13.92,20.66,1.67,1.85,0.26,72.3,-6.01,1.22,296.28,81.42,98189.18,19.27,109.14, 
14.21,21.58,1.65,1.76,0.26,72.45,-5.49,1.71,295.59,85.8,97948.65,19.27,109.28, 
14.67,23.14,1.74,2.01,0.28,71.33,-4.88,1.25,295.62,86.81,98368.81,19.26,109.43, 
15.15,24.52,1.82,2.27,0.29,69.79,-4.83,1.08,295.35,88.76,98336.96,19.26,109.57, 
15.36,25.61,1.93,2.76,0.31,67.59,-4.5,0.93,295.32,90.06,98631.48,19.25,109.71, 
14.97,25.84,1.96,3,0.31,66.27,-4.32,0.64,295.6,89.95,99234.88,19.25,109.85, 
14.52,25.77,1.91,3.01,0.31,65.81,-4.61,0.31,295.63,90.42,99351.87,19.24,109.99, 
14.27,26.03,1.92,3.15,0.31,65.39,-5.07,-0.17,295.6,91.26,99464.79,19.23,110.13, 
13.73,26,1.97,3.18,0.3,66.72,-5.25,-0.83,296.07,90.73,100293.08,19.23,110.27, 
12.86,24.9,1.47,2.02,0.28,70.13,-5.54,-1.49,296.77,89.09,101227.26,19.22,110.41, 
12.63,24.39,1.03,0.97,0.25,77.83,-6.62,-2.09,297.05,89.66,101591.12,19.21,110.55, 
16.39,23.17,2.94,3.42,0.26,70.41,-5.1,-0.21,297.81,78.76,101143.79,19.42,108.87, 
15.25,22.46,2.43,3.02,0.27,71.66,-5.41,0.37,297.66,78.69,100718.7,19.41,109.01, 
14.88,22.79,2.07,2.74,0.28,71.41,-5.56,1.02,297.15,80.7,100243.71,19.41,109.15, 
14.83,23.4,1.85,2.47,0.28,71.26,-5.41,1.55,296.66,82.99,99759.23,19.4,109.29, 
15.2,24.74,1.86,2.6,0.3,69.44,-5.49,1.32,296.12,85.8,99313.63,19.4,109.43, 
15.47,26.04,1.85,2.83,0.31,64.97,-5.42,1.18,295.94,87.4,99395.88,19.39,109.57, 
14.98,26.06,1.94,3.04,0.32,64.54,-4.98,0.77,296.18,86.56,99785.09,19.38,109.71, 
14.9,26.8,1.94,3.36,0.33,60.95,-4.9,0.48,296.18,86.66,99819.49,19.38,109.85, 
14.64,27.05,2,3.69,0.33,60.41,-5.15,0.13,296.1,87.41,99780.06,19.37,109.99, 
14.54,27.63,1.91,4,0.34,58.48,-5.34,-0.11,295.98,88.8,99884.52,19.37,110.13, 
13.68,26.32,1.72,3.32,0.32,62.22,-5.24,-0.34,296.22,88.41,100205.58,19.36,110.27, 
13.15,25.62,1.45,2.38,0.3,65.05,-5.34,-0.84,296.41,89.05,100711.16,19.35,110.41, 
12.9,24.98,1.16,1.33,0.27,72.11,-6.11,-1.62,296.61,90.32,101133.81,19.35,110.55, 
16.67,24.21,2.39,3.01,0.27,69.02,-6.13,0.46,297.45,80.66,101141.95,19.54,109.01, 
16.25,24.99,2.39,3.3,0.29,68.52,-5.58,0.91,297.3,81.45,100980.69,19.54,109.16, 
15.72,25.39,2.46,3.45,0.3,69.56,-5.09,1.3,297.12,82.04,100746.3,19.53,109.3, 
15.8,26.75,2.62,3.81,0.32,66.28,-5.47,1.46,296.69,83.9,100310.96,19.53,109.44, 
16.05,28.21,2.82,4.42,0.34,60.63,-5.58,1.26,296.28,85.85,99991.07,19.52,109.58, 
15.43,27.79,2.76,4.38,0.35,59.55,-5,0.64,296.26,85.98,100002.26,19.52,109.72, 
15.19,28.22,2.83,4.77,0.35,56.49,-4.81,0.36,296.35,85.95,100212.52,19.51,109.86, 
14.92,28.4,2.99,5.17,0.36,55.34,-4.96,0.09,296.37,86.24,100292.21,19.51,110, 
14.55,28.11,2.63,4.93,0.36,55.56,-5.3,-0.07,296.37,86.79,100391.05,19.5,110.14, 
14.08,27.4,1.92,4.24,0.35,56.19,-5.61,-0.2,296.52,86.57,100627.09,19.49,110.28, 
13.36,25.7,1.72,2.91,0.32,60.76,-5.62,-0.39,296.49,87.19,100559.14,19.49,110.42, 
13.22,25.28,1.53,2.1,0.29,64.42,-5.59,-0.93,296.28,89.74,100675.02,19.48,110.56, 
13.03,24.82,1.44,1.27,0.26,72.68,-6.21,-1.66,296.66,90.11,101324.04,19.47,110.7, 
16.58,27.25,2.88,4.32,0.31,64.87,-6.51,1.46,297.41,81.09,101292.69,19.67,109.3, 
16.13,28.38,3.08,4.8,0.34,61.33,-6.81,1.36,297.1,82.55,100889.8,19.66,109.44, 
16.19,29.38,3.29,5.3,0.35,57.18,-6.91,0.99,296.56,84.69,100337.01,19.66,109.58, 
15.83,29.43,3.12,5.37,0.36,54,-6.71,0.68,296.42,85.54,100236.92,19.65,109.72, 
15.65,29.88,3.32,5.98,0.38,51.03,-6.62,0.44,296.46,85.75,100458.77,19.64,109.87, 
15.45,30.2,3.64,6.63,0.4,50.17,-6.58,0.2,296.52,85.94,100624.54,19.64,110.01, 
15.1,29.85,3.17,6.32,0.4,50.83,-6.53,-0.02,296.51,86.43,100776.96,19.63,110.15, 
14.56,28.74,2.2,5.24,0.39,52.52,-6.56,-0.34,296.58,86.64,100936.15,19.62,110.29, 
14.15,27.71,2.08,4.34,0.37,54.78,-6.49,-0.48,296.46,87.68,100830.52,19.62,110.43, 
13.64,26.44,1.99,3.18,0.33,58.26,-6.15,-0.66,296.38,88.83,100806,19.61,110.57, 
13.39,25.78,2.12,2.37,0.3,64.09,-6.32,-1.09,296.6,89.24,101270.37,19.6,110.71, 
13.42,26.06,1.78,1.55,0.26,71.96,-7.23,-1.93,296.8,90.17,101600.91,19.6,110.85, 
16.83,26.03,3.07,4.09,0.29,67.74,-6.32,1.14,297.62,79.98,101512.55,19.8,109.31, 
16.01,27.09,3.23,4.71,0.32,64.13,-6.37,1.19,297.42,80.75,101160.04,19.79,109.45, 
15.64,27.66,3.37,5.08,0.33,61.45,-6.6,1.22,296.96,82.55,100669.02,19.79,109.59, 
15.75,29.53,3.29,5.85,0.36,54.23,-7.05,1.19,296.66,84.49,100586.97,19.78,109.73, 
15.47,29.85,3.47,6.54,0.38,51.36,-7.02,0.9,296.73,84.48,100760.54,19.78,109.87, 
15.21,29.95,3.68,7.03,0.4,51.06,-6.86,0.61,296.8,84.57,100917.34,19.77,110.01, 
14.85,29.5,3.14,6.36,0.4,52.34,-6.82,0.19,296.82,84.83,100998.03,19.76,110.15, 
14.54,28.76,2.26,5.24,0.4,53.94,-6.77,-0.26,296.72,85.72,101013.04,19.76,110.29, 
14.27,27.93,2.03,4.31,0.37,55.81,-6.7,-0.51,296.61,86.77,101034.68,19.75,110.44, 
13.93,26.88,1.86,3.16,0.34,58.76,-6.41,-0.57,296.54,87.83,101078.85,19.74,110.58, 
13.74,26.33,1.98,2.3,0.31,63.36,-6.48,-0.79,296.58,88.82,101292.61,19.74,110.72, 
13.84,26.84,1.7,1.59,0.28,69.28,-7.19,-1.4,296.57,90.96,101486.97,19.73,110.86, 
13.68,26.69,1.14,0.69,0.24,83.41,-7.74,-1.88,296.5,93.48,101589.3,19.72,111, 
16.41,27.74,3.78,5.73,0.31,64.41,-6.43,0.87,297.15,82.25,101253.55,19.92,109.6, 
15.75,28.2,3.88,6.37,0.33,61.21,-5.83,0.84,297.08,82.86,101173.35,19.92,109.74, 
15.06,27.67,4.14,6.99,0.34,61.26,-5.17,0.64,297.23,82.11,101297.2,19.91,109.88, 
14.92,28.36,4.27,7.97,0.36,58.57,-5.12,0.51,297.25,82.23,101312.67,19.9,110.02, 
14.79,28.58,3.58,7.02,0.38,58.44,-5.36,0.28,297.01,83.47,101080.91,19.9,110.16, 
14.71,28.5,2.63,5.35,0.38,59.73,-5.48,-0.04,296.8,85.01,101005.02,19.89,110.3, 
14.45,27.43,1.92,4.01,0.36,61.39,-5.6,-0.21,296.77,86.03,101216.93,19.88,110.44, 
14.29,26.41,1.23,2.15,0.32,63.75,-6.2,-0.32,296.72,87.21,101359.16,19.88,110.58, 
14.42,26.8,1.11,1.72,0.3,65.42,-6.97,-0.52,296.53,89.16,101368.71,19.87,110.73, 
14.38,26.4,1.02,1.14,0.28,73.03,-7.21,-1.09,296.4,91.35,101448.8,19.86,110.87, 
16.02,32.01,5.49,7.88,0.36,60.47,-7.52,-0.1,296.94,85.47,101482.01,20.03,110.17, 
15.97,32.44,5.06,7.45,0.37,60.09,-7.46,-0.24,296.73,87.11,101415.46,20.02,110.31, 
15.3,30.26,2.96,4.38,0.33,65.28,-7.5,-0.31,296.7,87.96,101544.59,20.02,110.45, 
14.55,26.49,1.08,0.92,0.28,73.62,-7.47,-0.57,296.68,88,101556.27,20,110.73, 
17.11,31.38,4.57,5.12,0.32,75.62,-8.21,0.81,296.62,86.76,101557.26,20.3,110.04, 
17.36,33.03,4.83,5.8,0.34,73.33,-8.06,0.37,296.31,89.27,101322.02,20.3,110.18, 
17.32,33.42,4.4,5.22,0.33,75.54,-7.89,0.13,296.16,91.34,101358.02,20.29,110.32, 
17.47,30.33,2.27,3.55,0.33,75.71,-8.13,1.37,296.37,86.22,101112.2,20.43,110.05, 
17.82,31.26,1.94,3.11,0.33,75.8,-7.92,1.08,295.81,89.94,100588.34,20.43,110.19, 
17.79,30.94,1.57,2.17,0.32,78.8,-7.49,0.85,295.79,91.22,100782.88,20.42,110.33, 
17.14,29.55,1.25,1.02,0.29,84.94,-7.54,0.61,296.22,91.13,101474.16,20.41,110.47, 
17.87,29.15,1.82,2.84,0.31,78.21,-7.59,1.93,296.63,83.97,101142.66,20.57,109.91, 
18.18,30.58,1.67,2.72,0.33,77.59,-7.66,1.65,296.08,87.3,100575.19,20.57,110.05, 
18.57,31.13,1.49,2.11,0.32,79.27,-7.4,1.51,295.65,90.21,100294.62,20.56,110.2, 
18.42,30.76,1.33,1.37,0.31,82.54,-7.13,1.33,295.87,90.94,100848.81,20.55,110.34, 
17.74,29.27,1.22,0.65,0.28,88.5,-7.46,1,296.32,90.72,101551.16,20.55,110.48, 
18.57,29.32,1.68,2.7,0.31,80,-7.12,1.96,296.96,83.26,101550.81,20.71,109.78, 
18.52,30.25,1.58,2.53,0.33,80.79,-7.44,1.67,296.65,85.45,101186.64,20.71,109.92, 
19.01,31.76,1.48,2.19,0.33,83.09,-7.71,1.63,296.21,88.45,100894.24,20.7,110.06, 
19.3,32.13,1.36,1.48,0.31,87.73,-7.96,1.59,296.08,90.93,100969.4,20.69,110.2, 
18.89,29.42,1.72,2.58,0.32,80.13,-7.46,1.9,296.94,83.51,101551.04,20.85,109.78, 
19.13,30.62,1.7,2.48,0.34,81.47,-7.49,1.8,296.77,85.44,101455.23,20.84,109.92, 
19.74,31.73,1.68,2.16,0.34,84.32,-7.48,1.81,296.63,86.71,101496.51,20.83,110.07, 
19.99,31.03,1.47,1.26,0.3,89.26,-7.52,1.83,296.58,88.06,101603,20.83,110.21, 
19.75,30.35,1.94,2.74,0.34,82.52,-7.54,2.23,296.81,84.84,101485.98,20.98,109.79, 
20.26,31.93,2,2.67,0.36,85.21,-7.51,2.1,296.7,86.89,101462.96,20.97,109.93, 
21.03,33.41,2.07,2.36,0.35,90.04,-7.85,1.97,296.66,88.18,101581.84,20.97,110.07, 
20.98,31.61,3.17,4.2,0.36,81.81,-7.52,2.3,296.69,85.49,101463.18,21.11,109.79, 
21.77,33.21,3.56,4.6,0.38,84.11,-7.49,2.19,296.53,87.58,101379.81,21.11,109.94, 
22.66,34.49,4.18,4.97,0.37,87.82,-7.66,2.05,296.38,89.04,101390.09,21.1,110.08, 
23.22,34.92,4.57,4.82,0.35,92.94,-8.14,1.92,296.48,89.54,101497.62,21.09,110.22, 
20.75,26.22,5.84,1.58,0.23,51.36,0.03,1.96,291.47,76.6,91192.06,21.29,101.34, 
20.48,25.59,5.91,1.73,0.23,51.34,-0.22,2.21,291.55,76.04,89925.44,21.29,101.49, 
20.46,24.14,6.15,1.49,0.22,57.65,0.19,2.45,290.81,77.37,88523.68,21.3,101.63, 
22.69,33.13,4.63,5.77,0.37,78.37,-6.92,2.18,296.59,85.31,101553.25,21.25,109.8, 
23.33,34.4,5.08,6.4,0.4,80.44,-6.86,2.05,296.45,86.91,101402.41,21.24,109.94, 
24.12,35.82,5.77,7.27,0.41,81.71,-7.17,2.08,296.23,88.06,101287.03,21.23,110.09, 
24.6,35.93,6.21,7.22,0.39,84.96,-7.38,1.9,296.24,88.58,101340.48,21.23,110.23, 
24.22,34.92,4.49,4.52,0.36,90.18,-7.65,1.65,296.37,88.49,101541,21.22,110.37, 
23.58,33.61,2.56,1.73,0.32,95.61,-8.31,1.33,296.53,88.65,101687.79,21.21,110.52, 
20.69,26.55,5.8,2.12,0.23,50.79,0.78,0.72,291.79,74.13,92896.12,21.42,101.2, 
21.61,29.71,6.05,3.58,0.26,44.13,0,1.5,292.09,74.05,93349.18,21.42,101.34, 
21.6,29.45,6.34,4.27,0.26,42.93,-0.49,1.43,291.73,74.95,91060.56,21.43,101.48, 
21.54,27.11,6.84,3.65,0.25,50.99,-0.26,2.08,290.96,76.42,89450.21,21.43,101.63, 
25.95,38.34,7.4,10.65,0.46,73.71,-6.42,1.79,296.2,86.32,101471.85,21.37,109.95, 
26.68,40.53,8.32,12.9,0.51,73.22,-6.66,1.84,296.1,87.63,101428.73,21.37,110.09, 
26.73,40.75,8.75,12.92,0.49,75.99,-6.93,1.63,296.12,87.84,101483.12,21.36,110.24, 
26.19,40.07,6.82,9.4,0.45,81.35,-7.1,1.36,296.19,88.19,101572.01,21.35,110.38, 
25.69,39.11,4.46,5.24,0.41,87.29,-7.56,1.1,296.23,88.71,101633.46,21.35,110.52, 
25.4,38.43,3.75,3.59,0.38,91.72,-8.39,0.83,296.28,89.51,101687.2,21.34,110.67, 
20.21,28.55,5.29,3.51,0.26,47.91,-0.26,0.35,291.05,75.07,90341.98,21.52,100.33, 
20.89,31.6,5.61,5.53,0.28,43.25,0.26,0.61,290.43,76.08,88579.88,21.52,100.47, 
21.56,32.9,6.28,7.31,0.3,46.01,0.88,0.09,291.26,73.78,90579.85,21.53,100.62, 
21.39,30.6,5.97,5.54,0.28,41.79,-1.54,0.8,292.1,73.23,92956.08,21.56,101.33, 
21.61,30.28,6.17,5.3,0.28,41.87,-1.16,0.46,290.85,77.35,90358.12,21.56,101.48, 
21.77,28.42,6.55,4.03,0.26,48.44,-0.49,0.68,290.37,79.15,90046.51,21.56,101.62, 
26.4,34.01,6.12,5.06,0.36,72.14,-4.56,1.43,292.41,98.64,95254.36,21.59,107.52, 
22.4,32.99,8.86,10.38,0.5,64.4,-3.22,-1.04,295.74,91.69,100937.51,21.58,107.95, 
21.58,33.15,9.27,12.14,0.54,61.51,-3.26,-0.89,295.99,91.18,101174.18,21.57,108.09, 
23.66,34.14,6.14,7.89,0.48,69.37,-6.47,2.21,296.54,84.66,101504.44,21.54,109.24, 
24.63,35.27,6.13,8.16,0.47,69.46,-6.55,2.15,296.51,84.83,101512.95,21.53,109.38, 
25.46,36.61,6.68,8.99,0.46,69.5,-6.48,2.07,296.51,84.08,101618.41,21.52,109.53, 
26.65,38.13,7.13,9.87,0.46,69.43,-6.44,1.87,296.44,84.05,101623.5,21.52,109.67, 
27.38,39.71,7.46,11.31,0.5,68.46,-6.51,1.85,296.19,84.94,101521.87,21.51,109.81, 
27.73,41.2,8.1,12.86,0.53,67.97,-6.58,1.75,296,85.79,101450.23,21.51,109.96, 
27.96,42.6,8.78,14.18,0.55,68.47,-6.71,1.68,295.93,86.35,101521.48,21.5,110.1, 
28.13,43.41,9.25,14.21,0.54,70.25,-6.89,1.47,295.92,86.39,101552.2,21.49,110.24, 
28,43.7,8.2,11.99,0.52,73.52,-7.07,1.22,295.81,86.9,101505.84,21.49,110.39, 
27.61,43.45,6.79,9.27,0.5,77.03,-7.29,1.01,295.79,87.05,101537.84,21.48,110.53, 
27.33,42.4,6.45,7.82,0.46,79.99,-7.6,0.76,295.82,87.18,101612.66,21.47,110.67, 
27.04,41.34,6.16,6.66,0.42,82.78,-8.02,0.43,295.83,87.48,101627.7,21.47,110.82, 
26.45,40.68,5.25,5.16,0.38,86.01,-8.66,-0.03,295.81,88.68,101637.45,21.46,110.96, 
26.52,39.7,4.42,4.15,0.35,90.11,-8.76,-1.48,295.65,90.79,101559.06,21.44,111.25, 
21.16,30.93,5.88,5.24,0.28,45.34,-0.84,0.75,290.41,77.42,90047.7,21.65,100.18, 
21.2,33.35,5.24,5.64,0.29,37.07,-0.06,2.43,289.8,77.85,87764.7,21.65,100.32, 
22.52,37.62,5.63,8.49,0.33,33.66,1.13,2.89,288.58,80.66,85635.41,21.66,100.47, 
23.68,41.15,6.39,12.45,0.38,34.69,1.85,1.93,289.72,77.15,87528.88,21.66,100.61, 
22.7,36.4,6.03,8.58,0.33,37.75,1.61,1.05,291.46,72.9,91491.45,21.67,100.75, 
21.51,30.39,5.71,5.52,0.29,43.61,-1.13,1.44,291.39,75.29,91661.49,21.68,101.19, 
21.49,31.65,5.78,7.15,0.3,39.54,-0.9,1.57,291.2,74.84,90160.44,21.69,101.33, 
21.63,31.52,6.09,6.66,0.29,39.97,-0.01,1.5,290.19,77.36,88260.32,21.69,101.47, 
21.65,29.88,6.52,5.23,0.27,45.03,0.15,0.74,290.19,78.75,89023.97,21.7,101.62, 
20.75,25.47,5.98,1.58,0.23,54.52,0.22,1.74,290.24,78.48,88173.09,21.7,101.76, 
22.72,30.04,5.27,4.3,0.35,68.9,-3.56,2.45,293.57,90.38,96086.9,21.73,107.23, 
22.09,29.5,5.25,5.08,0.36,67.93,-4.05,2.87,293.15,92.11,95431.33,21.72,107.38, 
23.23,31.07,5.97,6.32,0.39,68.41,-3.98,2.8,292.67,96,95126.09,21.72,107.52, 
25.79,35.57,7.51,9.26,0.45,60.44,-3.83,2.39,292.76,98.7,96205.98,21.72,107.66, 
25.86,36.52,8.81,11.42,0.52,56.86,-3.6,0.75,293.7,96.67,97829.88,21.71,107.81, 
25.33,36.66,8.99,13.48,0.59,52.63,-3.23,-0.51,294.13,96.02,98725.4,21.71,107.95, 
24.25,36.68,9.73,15.79,0.66,48.78,-2.81,-1.23,294.95,93.28,100409.15,21.71,108.09, 
23.54,37.38,12.71,20.2,0.71,45.8,-2.69,-1.2,295.76,90.4,101448.18,21.7,108.24, 
22.22,35.17,12.83,18.55,0.66,50.3,-2.96,-0.49,296.15,89.22,101478.37,21.7,108.38, 
20.67,31.76,10.66,14.09,0.57,59.64,-3.73,0.35,296.59,87.4,101635.34,21.69,108.53, 
21.64,32.06,7.25,8.95,0.55,65.04,-4.68,1.51,296.53,85.03,101573.27,21.68,108.81, 
22.7,33.66,7.66,10,0.56,64.47,-5.13,1.97,296.61,84.43,101545.86,21.68,108.96, 
23.58,34.55,7.59,10.64,0.56,64.45,-5.59,2.24,296.53,84.1,101491.98,21.67,109.1, 
